sample_id,dataset,drug_id,drug_name,cell_context,cell_type,cell_line,tissue,batch,dose,time,condition,control_sample_id,source_file,source_split,split,control
"T cells, Trametinib",openproblems_neurips2023,Trametinib,Trametinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, AMD-070 (hydrochloride)",openproblems_neurips2023,AMD-070 (hydrochloride),AMD-070 (hydrochloride),B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, AMD-070 (hydrochloride)",openproblems_neurips2023,AMD-070 (hydrochloride),AMD-070 (hydrochloride),Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, AMD-070 (hydrochloride)",openproblems_neurips2023,AMD-070 (hydrochloride),AMD-070 (hydrochloride),NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, AMD-070 (hydrochloride)",openproblems_neurips2023,AMD-070 (hydrochloride),AMD-070 (hydrochloride),T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Sgc-cbp30",openproblems_neurips2023,Sgc-cbp30,Sgc-cbp30,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Sgc-cbp30",openproblems_neurips2023,Sgc-cbp30,Sgc-cbp30,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, FK 866",openproblems_neurips2023,FK 866,FK 866,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, FK 866",openproblems_neurips2023,FK 866,FK 866,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, FK 866",openproblems_neurips2023,FK 866,FK 866,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, FK 866",openproblems_neurips2023,FK 866,FK 866,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Chlorpheniramine",openproblems_neurips2023,Chlorpheniramine,Chlorpheniramine,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Chlorpheniramine",openproblems_neurips2023,Chlorpheniramine,Chlorpheniramine,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Scriptaid",openproblems_neurips2023,Scriptaid,Scriptaid,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Scriptaid",openproblems_neurips2023,Scriptaid,Scriptaid,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Scriptaid",openproblems_neurips2023,Scriptaid,Scriptaid,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Scriptaid",openproblems_neurips2023,Scriptaid,Scriptaid,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, BAY 61-3606",openproblems_neurips2023,BAY 61-3606,BAY 61-3606,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, BAY 61-3606",openproblems_neurips2023,BAY 61-3606,BAY 61-3606,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, LY2090314",openproblems_neurips2023,LY2090314,LY2090314,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, LY2090314",openproblems_neurips2023,LY2090314,LY2090314,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Vardenafil",openproblems_neurips2023,Vardenafil,Vardenafil,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Vardenafil",openproblems_neurips2023,Vardenafil,Vardenafil,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Dasatinib",openproblems_neurips2023,Dasatinib,Dasatinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Dasatinib",openproblems_neurips2023,Dasatinib,Dasatinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, AT13387",openproblems_neurips2023,AT13387,AT13387,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, AT13387",openproblems_neurips2023,AT13387,AT13387,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, PF-04691502",openproblems_neurips2023,PF-04691502,PF-04691502,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, PF-04691502",openproblems_neurips2023,PF-04691502,PF-04691502,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, PF-04691502",openproblems_neurips2023,PF-04691502,PF-04691502,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Perhexiline",openproblems_neurips2023,Perhexiline,Perhexiline,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Perhexiline",openproblems_neurips2023,Perhexiline,Perhexiline,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, RVX-208",openproblems_neurips2023,RVX-208,RVX-208,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, RVX-208",openproblems_neurips2023,RVX-208,RVX-208,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Ketoconazole",openproblems_neurips2023,Ketoconazole,Ketoconazole,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Ketoconazole",openproblems_neurips2023,Ketoconazole,Ketoconazole,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Disulfiram",openproblems_neurips2023,Disulfiram,Disulfiram,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Disulfiram",openproblems_neurips2023,Disulfiram,Disulfiram,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Flutamide",openproblems_neurips2023,Flutamide,Flutamide,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Flutamide",openproblems_neurips2023,Flutamide,Flutamide,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Desloratadine",openproblems_neurips2023,Desloratadine,Desloratadine,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Desloratadine",openproblems_neurips2023,Desloratadine,Desloratadine,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Dactolisib",openproblems_neurips2023,Dactolisib,Dactolisib,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"Myeloid cells, Dactolisib",openproblems_neurips2023,Dactolisib,Dactolisib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Dactolisib",openproblems_neurips2023,Dactolisib,Dactolisib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Dactolisib",openproblems_neurips2023,Dactolisib,Dactolisib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, BMS-536924",openproblems_neurips2023,BMS-536924,BMS-536924,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, BMS-536924",openproblems_neurips2023,BMS-536924,BMS-536924,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, IKK Inhibitor VII",openproblems_neurips2023,IKK Inhibitor VII,IKK Inhibitor VII,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, IKK Inhibitor VII",openproblems_neurips2023,IKK Inhibitor VII,IKK Inhibitor VII,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Amiodarone",openproblems_neurips2023,Amiodarone,Amiodarone,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Amiodarone",openproblems_neurips2023,Amiodarone,Amiodarone,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Isoniazid",openproblems_neurips2023,Isoniazid,Isoniazid,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Isoniazid",openproblems_neurips2023,Isoniazid,Isoniazid,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Isoniazid",openproblems_neurips2023,Isoniazid,Isoniazid,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Isoniazid",openproblems_neurips2023,Isoniazid,Isoniazid,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, IMD-0354",openproblems_neurips2023,IMD-0354,IMD-0354,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, IMD-0354",openproblems_neurips2023,IMD-0354,IMD-0354,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Canertinib",openproblems_neurips2023,Canertinib,Canertinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Canertinib",openproblems_neurips2023,Canertinib,Canertinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Idelalisib",openproblems_neurips2023,Idelalisib,Idelalisib,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"Myeloid cells, Idelalisib",openproblems_neurips2023,Idelalisib,Idelalisib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Idelalisib",openproblems_neurips2023,Idelalisib,Idelalisib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Idelalisib",openproblems_neurips2023,Idelalisib,Idelalisib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Alogliptin",openproblems_neurips2023,Alogliptin,Alogliptin,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Alogliptin",openproblems_neurips2023,Alogliptin,Alogliptin,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Penfluridol",openproblems_neurips2023,Penfluridol,Penfluridol,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"Myeloid cells, Penfluridol",openproblems_neurips2023,Penfluridol,Penfluridol,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Penfluridol",openproblems_neurips2023,Penfluridol,Penfluridol,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Penfluridol",openproblems_neurips2023,Penfluridol,Penfluridol,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Quizartinib",openproblems_neurips2023,Quizartinib,Quizartinib,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Quizartinib",openproblems_neurips2023,Quizartinib,Quizartinib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Quizartinib",openproblems_neurips2023,Quizartinib,Quizartinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Quizartinib",openproblems_neurips2023,Quizartinib,Quizartinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, RN-486",openproblems_neurips2023,RN-486,RN-486,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, RN-486",openproblems_neurips2023,RN-486,RN-486,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, PD-0325901",openproblems_neurips2023,PD-0325901,PD-0325901,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, PD-0325901",openproblems_neurips2023,PD-0325901,PD-0325901,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, PD-0325901",openproblems_neurips2023,PD-0325901,PD-0325901,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, PD-0325901",openproblems_neurips2023,PD-0325901,PD-0325901,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Decitabine",openproblems_neurips2023,Decitabine,Decitabine,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Decitabine",openproblems_neurips2023,Decitabine,Decitabine,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, LDN 193189",openproblems_neurips2023,LDN 193189,LDN 193189,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"Myeloid cells, LDN 193189",openproblems_neurips2023,LDN 193189,LDN 193189,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, LDN 193189",openproblems_neurips2023,LDN 193189,LDN 193189,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, LDN 193189",openproblems_neurips2023,LDN 193189,LDN 193189,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Cabozantinib",openproblems_neurips2023,Cabozantinib,Cabozantinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Cabozantinib",openproblems_neurips2023,Cabozantinib,Cabozantinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Riociguat",openproblems_neurips2023,Riociguat,Riociguat,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Riociguat",openproblems_neurips2023,Riociguat,Riociguat,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Riociguat",openproblems_neurips2023,Riociguat,Riociguat,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Riociguat",openproblems_neurips2023,Riociguat,Riociguat,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, CHIR-99021",openproblems_neurips2023,CHIR-99021,CHIR-99021,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"Myeloid cells, CHIR-99021",openproblems_neurips2023,CHIR-99021,CHIR-99021,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, CHIR-99021",openproblems_neurips2023,CHIR-99021,CHIR-99021,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, CHIR-99021",openproblems_neurips2023,CHIR-99021,CHIR-99021,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Defactinib",openproblems_neurips2023,Defactinib,Defactinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Defactinib",openproblems_neurips2023,Defactinib,Defactinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, BI-D1870",openproblems_neurips2023,BI-D1870,BI-D1870,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, BI-D1870",openproblems_neurips2023,BI-D1870,BI-D1870,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, BI-D1870",openproblems_neurips2023,BI-D1870,BI-D1870,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, BI-D1870",openproblems_neurips2023,BI-D1870,BI-D1870,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, AZD3514",openproblems_neurips2023,AZD3514,AZD3514,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, AZD3514",openproblems_neurips2023,AZD3514,AZD3514,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, HMN-214",openproblems_neurips2023,HMN-214,HMN-214,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, HMN-214",openproblems_neurips2023,HMN-214,HMN-214,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, CC-401",openproblems_neurips2023,CC-401,CC-401,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, CC-401",openproblems_neurips2023,CC-401,CC-401,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Resminostat",openproblems_neurips2023,Resminostat,Resminostat,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Resminostat",openproblems_neurips2023,Resminostat,Resminostat,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Crizotinib",openproblems_neurips2023,Crizotinib,Crizotinib,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"Myeloid cells, Crizotinib",openproblems_neurips2023,Crizotinib,Crizotinib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Crizotinib",openproblems_neurips2023,Crizotinib,Crizotinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Crizotinib",openproblems_neurips2023,Crizotinib,Crizotinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Azacitidine",openproblems_neurips2023,Azacitidine,Azacitidine,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Azacitidine",openproblems_neurips2023,Azacitidine,Azacitidine,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Azacitidine",openproblems_neurips2023,Azacitidine,Azacitidine,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Azacitidine",openproblems_neurips2023,Azacitidine,Azacitidine,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, TR-14035",openproblems_neurips2023,TR-14035,TR-14035,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, TR-14035",openproblems_neurips2023,TR-14035,TR-14035,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, TR-14035",openproblems_neurips2023,TR-14035,TR-14035,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, TR-14035",openproblems_neurips2023,TR-14035,TR-14035,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Nilotinib",openproblems_neurips2023,Nilotinib,Nilotinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Nilotinib",openproblems_neurips2023,Nilotinib,Nilotinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, AT 7867",openproblems_neurips2023,AT 7867,AT 7867,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, AT 7867",openproblems_neurips2023,AT 7867,AT 7867,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, AT 7867",openproblems_neurips2023,AT 7867,AT 7867,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, AT 7867",openproblems_neurips2023,AT 7867,AT 7867,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, OSI-930",openproblems_neurips2023,OSI-930,OSI-930,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, OSI-930",openproblems_neurips2023,OSI-930,OSI-930,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, GO-6976",openproblems_neurips2023,GO-6976,GO-6976,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, GO-6976",openproblems_neurips2023,GO-6976,GO-6976,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, GO-6976",openproblems_neurips2023,GO-6976,GO-6976,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, GO-6976",openproblems_neurips2023,GO-6976,GO-6976,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Saracatinib",openproblems_neurips2023,Saracatinib,Saracatinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Saracatinib",openproblems_neurips2023,Saracatinib,Saracatinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, RG7112",openproblems_neurips2023,RG7112,RG7112,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, RG7112",openproblems_neurips2023,RG7112,RG7112,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Lamivudine",openproblems_neurips2023,Lamivudine,Lamivudine,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Lamivudine",openproblems_neurips2023,Lamivudine,Lamivudine,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
