sample_id,dataset,drug_id,drug_name,cell_context,cell_type,cell_line,tissue,batch,dose,time,condition,control_sample_id,source_file,source_split,split,control,smiles,scaffold,split_random,split_cell_heldout,split_scaffold_heldout,split_cell_scaffold_heldout
"NK cells, BMS-387032",openproblems_neurips2023,BMS-387032,BMS-387032,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,O=C(Nc1ncc(SCc2ncco2)s1)C1CCNCC1,train,train,train,train
"T cells, BMS-387032",openproblems_neurips2023,BMS-387032,BMS-387032,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,O=C(Nc1ncc(SCc2ncco2)s1)C1CCNCC1,train,test,train,excluded
"B cells, IN1451",openproblems_neurips2023,IN1451,IN1451,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,Nc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,c1ncc2ccn([C@H]3CCCO3)c2n1,train,train,test,excluded
"Myeloid cells, IN1451",openproblems_neurips2023,IN1451,IN1451,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,Nc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,c1ncc2ccn([C@H]3CCCO3)c2n1,train,train,test,excluded
"NK cells, IN1451",openproblems_neurips2023,IN1451,IN1451,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,Nc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,c1ncc2ccn([C@H]3CCCO3)c2n1,train,train,test,excluded
"T cells, IN1451",openproblems_neurips2023,IN1451,IN1451,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,Nc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,c1ncc2ccn([C@H]3CCCO3)c2n1,train,test,test,test
"B cells, Raloxifene",openproblems_neurips2023,Raloxifene,Raloxifene,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12,train,train,test,excluded
"Myeloid cells, Raloxifene",openproblems_neurips2023,Raloxifene,Raloxifene,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12,test,train,test,excluded
"NK cells, Raloxifene",openproblems_neurips2023,Raloxifene,Raloxifene,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12,train,train,test,excluded
"T cells, Raloxifene",openproblems_neurips2023,Raloxifene,Raloxifene,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12,train,test,test,test
"B cells, Topotecan",openproblems_neurips2023,Topotecan,Topotecan,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,train,train,train,train
"Myeloid cells, Topotecan",openproblems_neurips2023,Topotecan,Topotecan,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,train,train,train,train
"NK cells, Topotecan",openproblems_neurips2023,Topotecan,Topotecan,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,test,train,train,train
"T cells, Topotecan",openproblems_neurips2023,Topotecan,Topotecan,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,train,test,train,excluded
"B cells, BAY 87-2243",openproblems_neurips2023,BAY 87-2243,BAY 87-2243,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,Cc1cc(-c2nc(-c3ccc(OC(F)(F)F)cc3)no2)nn1Cc1ccnc(N2CCN(C3CC3)CC2)c1,c1ccc(-c2noc(-c3ccn(Cc4ccnc(N5CCN(C6CC6)CC5)c4)n3)n2)cc1,train,train,train,train
"Myeloid cells, BAY 87-2243",openproblems_neurips2023,BAY 87-2243,BAY 87-2243,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,Cc1cc(-c2nc(-c3ccc(OC(F)(F)F)cc3)no2)nn1Cc1ccnc(N2CCN(C3CC3)CC2)c1,c1ccc(-c2noc(-c3ccn(Cc4ccnc(N5CCN(C6CC6)CC5)c4)n3)n2)cc1,train,train,train,train
"NK cells, BAY 87-2243",openproblems_neurips2023,BAY 87-2243,BAY 87-2243,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,Cc1cc(-c2nc(-c3ccc(OC(F)(F)F)cc3)no2)nn1Cc1ccnc(N2CCN(C3CC3)CC2)c1,c1ccc(-c2noc(-c3ccn(Cc4ccnc(N5CCN(C6CC6)CC5)c4)n3)n2)cc1,train,train,train,train
"T cells, BAY 87-2243",openproblems_neurips2023,BAY 87-2243,BAY 87-2243,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,Cc1cc(-c2nc(-c3ccc(OC(F)(F)F)cc3)no2)nn1Cc1ccnc(N2CCN(C3CC3)CC2)c1,c1ccc(-c2noc(-c3ccn(Cc4ccnc(N5CCN(C6CC6)CC5)c4)n3)n2)cc1,train,test,train,excluded
"NK cells, Phenylbutazone",openproblems_neurips2023,Phenylbutazone,Phenylbutazone,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,O=C1CC(=O)N(c2ccccc2)N1c1ccccc1,train,train,train,train
"T cells, Phenylbutazone",openproblems_neurips2023,Phenylbutazone,Phenylbutazone,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,O=C1CC(=O)N(c2ccccc2)N1c1ccccc1,train,test,train,excluded
"NK cells, K-02288",openproblems_neurips2023,K-02288,K-02288,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc(-c2cc(-c3cccc(O)c3)cnc2N)cc(OC)c1OC,c1ccc(-c2cncc(-c3ccccc3)c2)cc1,train,train,test,excluded
"T cells, K-02288",openproblems_neurips2023,K-02288,K-02288,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc(-c2cc(-c3cccc(O)c3)cnc2N)cc(OC)c1OC,c1ccc(-c2cncc(-c3ccccc3)c2)cc1,train,test,test,test
"NK cells, BMS-777607",openproblems_neurips2023,BMS-777607,BMS-777607,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,O=C(Nc1ccc(Oc2ccncc2)cc1)c1cccn(-c2ccccc2)c1=O,test,train,train,train
"T cells, BMS-777607",openproblems_neurips2023,BMS-777607,BMS-777607,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,O=C(Nc1ccc(Oc2ccncc2)cc1)c1cccn(-c2ccccc2)c1=O,train,test,train,excluded
"B cells, Porcn Inhibitor III",openproblems_neurips2023,Porcn Inhibitor III,Porcn Inhibitor III,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1ccc(-c2ccccc2)cn1,O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1ccc(-c2ccccc2)cn1,test,train,train,train
"Myeloid cells, Porcn Inhibitor III",openproblems_neurips2023,Porcn Inhibitor III,Porcn Inhibitor III,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1ccc(-c2ccccc2)cn1,O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1ccc(-c2ccccc2)cn1,train,train,train,train
"NK cells, Porcn Inhibitor III",openproblems_neurips2023,Porcn Inhibitor III,Porcn Inhibitor III,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1ccc(-c2ccccc2)cn1,O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1ccc(-c2ccccc2)cn1,train,train,train,train
"T cells, Porcn Inhibitor III",openproblems_neurips2023,Porcn Inhibitor III,Porcn Inhibitor III,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1ccc(-c2ccccc2)cn1,O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1ccc(-c2ccccc2)cn1,train,test,train,excluded
"B cells, TL_HRAS26",openproblems_neurips2023,TL_HRAS26,TL_HRAS26,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,Cc1onc(C(=O)N2CCN(C(c3ccc(Cl)cc3)c3ccc(Cl)cc3)CC2)c1[N+](=O)[O-],O=C(c1ccon1)N1CCN(C(c2ccccc2)c2ccccc2)CC1,test,train,train,train
"Myeloid cells, TL_HRAS26",openproblems_neurips2023,TL_HRAS26,TL_HRAS26,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,Cc1onc(C(=O)N2CCN(C(c3ccc(Cl)cc3)c3ccc(Cl)cc3)CC2)c1[N+](=O)[O-],O=C(c1ccon1)N1CCN(C(c2ccccc2)c2ccccc2)CC1,train,train,train,train
"NK cells, TL_HRAS26",openproblems_neurips2023,TL_HRAS26,TL_HRAS26,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,Cc1onc(C(=O)N2CCN(C(c3ccc(Cl)cc3)c3ccc(Cl)cc3)CC2)c1[N+](=O)[O-],O=C(c1ccon1)N1CCN(C(c2ccccc2)c2ccccc2)CC1,test,train,train,train
"T cells, TL_HRAS26",openproblems_neurips2023,TL_HRAS26,TL_HRAS26,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,Cc1onc(C(=O)N2CCN(C(c3ccc(Cl)cc3)c3ccc(Cl)cc3)CC2)c1[N+](=O)[O-],O=C(c1ccon1)N1CCN(C(c2ccccc2)c2ccccc2)CC1,train,test,train,excluded
"B cells, Proscillaridin A;Proscillaridin-A",openproblems_neurips2023,Proscillaridin A;Proscillaridin-A,Proscillaridin A;Proscillaridin-A,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,O=c1ccc([C@H]2CCC3C2CC[C@@H]2C4CC[C@H](O[C@H]5CCCCO5)C=C4CC[C@@H]32)co1,train,train,test,excluded
"NK cells, Proscillaridin A;Proscillaridin-A",openproblems_neurips2023,Proscillaridin A;Proscillaridin-A,Proscillaridin A;Proscillaridin-A,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,O=c1ccc([C@H]2CCC3C2CC[C@@H]2C4CC[C@H](O[C@H]5CCCCO5)C=C4CC[C@@H]32)co1,test,train,test,excluded
"T cells, Proscillaridin A;Proscillaridin-A",openproblems_neurips2023,Proscillaridin A;Proscillaridin-A,Proscillaridin A;Proscillaridin-A,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,O=c1ccc([C@H]2CCC3C2CC[C@@H]2C4CC[C@H](O[C@H]5CCCCO5)C=C4CC[C@@H]32)co1,train,test,test,test
"NK cells, Vorinostat",openproblems_neurips2023,Vorinostat,Vorinostat,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(CCCCCCC(=O)Nc1ccccc1)NO,c1ccccc1,train,train,train,train
"T cells, Vorinostat",openproblems_neurips2023,Vorinostat,Vorinostat,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(CCCCCCC(=O)Nc1ccccc1)NO,c1ccccc1,train,test,train,excluded
"B cells, BMS-265246",openproblems_neurips2023,BMS-265246,BMS-265246,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,O=C(c1ccccc1)c1cnc2[nH]ncc2c1,train,train,train,train
"Myeloid cells, BMS-265246",openproblems_neurips2023,BMS-265246,BMS-265246,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,O=C(c1ccccc1)c1cnc2[nH]ncc2c1,train,train,train,train
"NK cells, BMS-265246",openproblems_neurips2023,BMS-265246,BMS-265246,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,O=C(c1ccccc1)c1cnc2[nH]ncc2c1,train,train,train,train
"T cells, BMS-265246",openproblems_neurips2023,BMS-265246,BMS-265246,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,O=C(c1ccccc1)c1cnc2[nH]ncc2c1,train,test,train,excluded
"NK cells, Ruxolitinib",openproblems_neurips2023,Ruxolitinib,Ruxolitinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,c1nc(-c2cnn(CC3CCCC3)c2)c2cc[nH]c2n1,train,train,train,train
"T cells, Ruxolitinib",openproblems_neurips2023,Ruxolitinib,Ruxolitinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,c1nc(-c2cnn(CC3CCCC3)c2)c2cc[nH]c2n1,train,test,train,excluded
"B cells, Pomalidomide",openproblems_neurips2023,Pomalidomide,Pomalidomide,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,train,train,test,excluded
"Myeloid cells, Pomalidomide",openproblems_neurips2023,Pomalidomide,Pomalidomide,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,test,train,test,excluded
"NK cells, Pomalidomide",openproblems_neurips2023,Pomalidomide,Pomalidomide,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,train,train,test,excluded
"T cells, Pomalidomide",openproblems_neurips2023,Pomalidomide,Pomalidomide,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,train,test,test,test
"B cells, Dovitinib",openproblems_neurips2023,Dovitinib,Dovitinib,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CN1CCN(c2ccc3[nH]c(-c4c(N)c5c(F)cccc5[nH]c4=O)nc3c2)CC1,O=c1[nH]c2ccccc2cc1-c1nc2cc(N3CCNCC3)ccc2[nH]1,train,train,test,excluded
"Myeloid cells, Dovitinib",openproblems_neurips2023,Dovitinib,Dovitinib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CN1CCN(c2ccc3[nH]c(-c4c(N)c5c(F)cccc5[nH]c4=O)nc3c2)CC1,O=c1[nH]c2ccccc2cc1-c1nc2cc(N3CCNCC3)ccc2[nH]1,test,train,test,excluded
"NK cells, Dovitinib",openproblems_neurips2023,Dovitinib,Dovitinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CN1CCN(c2ccc3[nH]c(-c4c(N)c5c(F)cccc5[nH]c4=O)nc3c2)CC1,O=c1[nH]c2ccccc2cc1-c1nc2cc(N3CCNCC3)ccc2[nH]1,train,train,test,excluded
"T cells, Dovitinib",openproblems_neurips2023,Dovitinib,Dovitinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CN1CCN(c2ccc3[nH]c(-c4c(N)c5c(F)cccc5[nH]c4=O)nc3c2)CC1,O=c1[nH]c2ccccc2cc1-c1nc2cc(N3CCNCC3)ccc2[nH]1,train,test,test,test
"NK cells, AVL-292",openproblems_neurips2023,AVL-292,AVL-292,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,train,train,train,train
"T cells, AVL-292",openproblems_neurips2023,AVL-292,AVL-292,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,test,test,train,excluded
"B cells, Navitoclax",openproblems_neurips2023,Navitoclax,Navitoclax,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,O=C(NS(=O)(=O)c1ccc(N[C@H](CCN2CCOCC2)CSc2ccccc2)cc1)c1ccc(N2CCN(CC3=C(c4ccccc4)CCCC3)CC2)cc1,train,train,train,train
"Myeloid cells, Navitoclax",openproblems_neurips2023,Navitoclax,Navitoclax,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,O=C(NS(=O)(=O)c1ccc(N[C@H](CCN2CCOCC2)CSc2ccccc2)cc1)c1ccc(N2CCN(CC3=C(c4ccccc4)CCCC3)CC2)cc1,train,train,train,train
"NK cells, Navitoclax",openproblems_neurips2023,Navitoclax,Navitoclax,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,O=C(NS(=O)(=O)c1ccc(N[C@H](CCN2CCOCC2)CSc2ccccc2)cc1)c1ccc(N2CCN(CC3=C(c4ccccc4)CCCC3)CC2)cc1,train,train,train,train
"T cells, Navitoclax",openproblems_neurips2023,Navitoclax,Navitoclax,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,O=C(NS(=O)(=O)c1ccc(N[C@H](CCN2CCOCC2)CSc2ccccc2)cc1)c1ccc(N2CCN(CC3=C(c4ccccc4)CCCC3)CC2)cc1,train,test,train,excluded
"B cells, Methotrexate",openproblems_neurips2023,Methotrexate,Methotrexate,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,c1ccc(NCc2cnc3ncncc3n2)cc1,train,train,train,train
"Myeloid cells, Methotrexate",openproblems_neurips2023,Methotrexate,Methotrexate,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,c1ccc(NCc2cnc3ncncc3n2)cc1,train,train,train,train
"NK cells, Methotrexate",openproblems_neurips2023,Methotrexate,Methotrexate,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,c1ccc(NCc2cnc3ncncc3n2)cc1,train,train,train,train
"T cells, Methotrexate",openproblems_neurips2023,Methotrexate,Methotrexate,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,c1ccc(NCc2cnc3ncncc3n2)cc1,train,test,train,excluded
"B cells, Palbociclib",openproblems_neurips2023,Palbociclib,Palbociclib,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,O=c1ccc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,train,train,train,train
"Myeloid cells, Palbociclib",openproblems_neurips2023,Palbociclib,Palbociclib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,O=c1ccc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,train,train,train,train
"NK cells, Palbociclib",openproblems_neurips2023,Palbociclib,Palbociclib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,O=c1ccc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,test,train,train,train
