dataset,seed,split_key,split_type,model_name,mean_all_gene_pearson,mean_all_gene_rmse,mean_top50_overlap,mean_top100_overlap,mean_top200_overlap,mean_top50_direction_agreement,mean_top100_direction_agreement,mean_top200_direction_agreement,n_train,n_val,n_test,runtime_seconds
sciplex3_24h_top2000,20,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2264014772471648,0.0887264576418441,0.1805647058823529,0.2020705882352941,0.2524117647058824,0.6686588235294116,0.6638588235294118,0.6556352941176472,1775,178,425,0.1434659957885742
sciplex3_24h_top2000,20,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0268800578734623,0.3435036520464273,0.1272727272727273,0.123006993006993,0.1503846153846153,0.531188811188811,0.5128671328671329,0.5079720279720281,1181,118,143,0.0990278720855712
sciplex3_24h_top2000,21,random,random,transigen_adapted_sciplex3,0.2256555344991924,0.0851879052530017,0.1568348623853211,0.1901376146788991,0.2399541284403669,0.6690825688073394,0.663348623853211,0.6584288990825687,1764,176,436,0.1510219573974609
sciplex3_24h_top2000,21,cell_heldout,cell_heldout,transigen_adapted_sciplex3,-0.0062080149721,2.762180055335572,0.0624462365591397,0.0926747311827957,0.1334072580645161,0.508494623655914,0.5014381720430108,0.5108400537634408,1456,146,744,0.1276209354400634
sciplex3_24h_top2000,21,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2095338575587556,0.0840535945051352,0.1614392059553349,0.1873449131513647,0.2361538461538462,0.6485856079404466,0.6448387096774194,0.6374813895781637,1797,180,403,0.1506798267364502
sciplex3_24h_top2000,21,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,-0.0084007563898247,1.848642230271208,0.0953623188405797,0.104927536231884,0.1410507246376811,0.5160869565217391,0.5146376811594203,0.5176449275362319,1191,119,138,0.1074519157409668
sciplex3_24h_top2000,22,random,random,transigen_adapted_sciplex3,0.2430306872060015,0.0852019566272309,0.1729824561403508,0.1993421052631578,0.2486074561403508,0.6852192982456141,0.677828947368421,0.6669078947368421,1744,174,456,0.1599762439727783
sciplex3_24h_top2000,22,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0060121204780597,0.2820984868079361,0.0450069541029207,0.0779833101529902,0.1260987482614742,0.5105980528511822,0.5135048678720445,0.5052781641168289,1481,148,719,0.1315338611602783
sciplex3_24h_top2000,22,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2232198677285389,0.0820908423967258,0.1835240274599542,0.2087643020594965,0.2528260869565217,0.654279176201373,0.6505720823798627,0.6450686498855834,1763,176,437,0.1460442543029785
sciplex3_24h_top2000,22,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,-0.0170171965366338,0.2639448686274589,0.0704895104895104,0.0847552447552447,0.121048951048951,0.4745454545454545,0.473986013986014,0.4835664335664336,1187,119,143,0.098567247390747
sciplex3_24h_top2000,23,random,random,transigen_adapted_sciplex3,0.2452968106247793,0.0819941437990858,0.1806714628297362,0.2075779376498801,0.2519544364508393,0.6840287769784172,0.6755395683453238,0.6658752997601919,1783,178,417,0.1432781219482422
sciplex3_24h_top2000,23,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0501768943515536,0.5689238453426814,0.0700135685210312,0.0875576662143826,0.1396879240162822,0.5293894165535957,0.5406919945725916,0.5342808683853459,1463,146,737,0.120218276977539
sciplex3_24h_top2000,23,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2023413026319678,0.0851181295052043,0.1821951219512195,0.202560975609756,0.2423536585365854,0.6489268292682927,0.6429512195121951,0.6322317073170732,1790,179,410,0.1511890888214111
sciplex3_24h_top2000,23,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.031112685511198,0.3645217380358478,0.053235294117647,0.0830882352941176,0.1364338235294117,0.5211764705882352,0.5283088235294118,0.5237132352941176,1189,119,136,0.1240482330322265
sciplex3_24h_top2000,24,random,random,transigen_adapted_sciplex3,0.216438115540738,0.0808838618166796,0.1683752860411899,0.191395881006865,0.2398283752860412,0.6633867276887871,0.6533638443935926,0.6450572082379863,1763,176,437,0.1437742710113525
