dataset,model,model_label,split,seed,n_records,n_gene_sets,mean_pathway_pearson,sd_pathway_pearson,median_pathway_pearson,iqr_pathway_pearson,mean_pathway_rmse,median_pathway_rmse,status,notes
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,cell_scaffold_heldout,22,143,39,-0.08715458109316877,0.21318952346592726,-0.0567012005376816,0.3027470959639814,0.060862633438017275,0.05729686202007189,completed,Loaded completed prediction vectors from transigen_seed022_cell_scaffold_heldout.npz.
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,cell_scaffold_heldout,22,143,39,0.04772958550655872,0.27843506818105646,0.030478675654366155,0.35122445041691475,0.2812363240659007,0.2804923608904353,completed,Loaded completed prediction vectors from prnet_main30_seed022_cell_scaffold_heldout.npz.
sciplex3_24h_top2000,global_train_mean,Global mean,random,23,417,39,0.18408365397617057,0.28906711686707953,0.1720528158248487,0.43417025923540425,0.03496529697400051,0.02198437148315302,completed,Reconstructed from train-only mean response vectors.
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,random,23,417,39,0.28504522227373763,0.31029576749779325,0.2902286092043669,0.4528447765795992,0.03284059990627326,0.022910804338436525,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,random,23,417,39,0.3031930796750071,0.31554840938925893,0.30369883392332964,0.5122808140308532,0.03292789078660777,0.023655865733304082,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,random,23,417,39,0.2581609602243815,0.304881691417797,0.21980499020273742,0.44962178248382684,0.03211613424923771,0.021843743759236613,completed,Loaded completed prediction vectors from transigen_seed023_random.npz.
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,random,23,417,39,0.00812958769467054,0.18234213787586323,0.01469619803506606,0.2457921505562093,0.07939345186379766,0.07098656137296369,completed,Loaded completed prediction vectors from prnet_main30_seed023_random.npz.
sciplex3_24h_top2000,global_train_mean,Global mean,scaffold_heldout,23,410,39,0.17855362992331278,0.27205289355370527,0.1822806399970647,0.3950042137090914,0.03317229692678694,0.023267966058246173,completed,Reconstructed from train-only mean response vectors.
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,scaffold_heldout,23,410,39,0.09639640630348599,0.29163010504584436,0.07478399341538701,0.36808530344613566,0.03642401090710457,0.028928154255620016,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,scaffold_heldout,23,410,39,0.1582531572481569,0.2880312665811358,0.14439550169927368,0.4009500977860838,0.03644245833995542,0.028831087235372806,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,scaffold_heldout,23,410,39,0.2331819795152653,0.2995963133341191,0.24801767663559732,0.4368965939825086,0.03436085726150173,0.025111658798136347,completed,Loaded completed prediction vectors from transigen_seed023_scaffold_heldout.npz.
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,scaffold_heldout,23,410,39,0.03301446644170391,0.1629197638344902,0.021873547795594063,0.23669794774824654,0.08521500063581305,0.08014777467523959,completed,Loaded completed prediction vectors from prnet_main30_seed023_scaffold_heldout.npz.
